2343270	Enugu-Ukwu	6.178510	7.011560	NG
2343273	Enugu-Ezike	6.982500	7.457000	NG
2343299	Emure-Ekiti	7.436140	5.459320	NG
2343512	Elele	5.100900	6.814110	NG
2343641	Ekpoma	6.742060	6.139000	NG
2343720	Eket	4.641220	7.920920	NG
2343784	Ejigbo	7.900000	4.316670	NG
2343822	Eha Amufu	6.659150	7.759610	NG
2343943	Egbe	8.216670	5.516670	NG
2343983	Effon Alaiye	7.650000	4.916670	NG
2343985	Effium	6.629170	8.059250	NG
2344082	Ebute Ikorodu	6.600860	3.488180	NG
2344229	Dutsen Wai	10.850090	8.199000	NG
2344245	Dutse	11.759400	9.339210	NG
2344418	Dukku	10.823060	10.771670	NG
2344600	Doma	8.383330	8.350000	NG
2344854	Dikwa	12.023960	13.916460	NG
2345029	Deba Habe	10.208640	11.385860	NG
2345094	Daura	13.035940	8.316310	NG
2345096	Daura	11.553800	11.408500	NG
2345152	Darazo	10.993750	10.411790	NG
2345498	Damboa	11.156040	12.757580	NG
2345521	Damaturu	11.747000	11.960800	NG
2346229	Calabar	4.951700	8.322000	NG
2346317	Burutu	5.350910	5.507580	NG
2346561	Bukuru	9.800000	8.866670	NG
2346615	Buguma	4.734070	6.863450	NG
2346812	Bonny	4.452200	7.168080	NG
2346951	Bode Sadu	8.933330	4.783330	NG
2347057	Birnin Kudu	11.445880	9.498400	NG
2347059	Birnin Kebbi	12.453890	4.197500	NG
2347061	Sofo-Birnin-Gwari	11.015370	6.780360	NG
2347155	Biliri	9.864720	11.225280	NG
2347303	Bende	5.557180	7.636760	NG
2347330	Beli	7.858680	10.971870	NG
2347592	Baro	8.600000	6.416670	NG
2348507	Babana	10.429490	3.814950	NG
2348595	Azare	11.676500	10.194800	NG
2348773	Awka	6.210090	7.074110	NG
2348783	Awgu	6.074200	7.478600	NG
2348892	Auchi	7.066670	6.266670	NG
2349276	Asaba	6.200640	6.733840	NG
2349431	Argungu	12.743340	4.526870	NG
2349529	Araomoko Ekiti	7.709270	5.044740	NG
2349558	Apomu	7.333330	4.183330	NG
2349951	Anchau	10.959670	8.391550	NG
2350249	Amaigbo	5.789170	7.838290	NG
2350806	Akwanga	8.916670	8.383330	NG
2350886	Aku	6.708100	7.316700	NG
2351470	Ajaokuta	7.562290	6.654970	NG
2351740	Agulu	6.110000	7.072400	NG
2351979	Agbor	6.251830	6.193370	NG
2352250	Afikpo	5.893120	7.937350	NG
2352356	Ado Odo	6.600000	2.933330	NG
2352778	Abuja	9.057350	7.489760	NG
2353099	Abakaliki	6.316250	8.116910	NG
2591159	Degema Hulk	4.762540	6.752000	NG
2317548	Zuru	11.424060	5.228790	NG
2317569	Zungeru	9.812780	6.155830	NG
2317765	Zaria	11.111280	7.722700	NG
2318123	Yenagoa	4.924720	6.264170	NG
2318921	Wukari	7.850000	9.783330	NG
2318933	Wudil	11.810670	8.845050	NG
2319257	Wamba	8.933330	8.600000	NG
2319668	Uromi	6.700000	6.333330	NG
2320576	Umuahia	5.526270	7.489590	NG
2320829	Ughelli	5.489860	6.007430	NG
2320831	Ugep	5.808600	8.081200	NG
2320920	Uga	5.935760	7.079300	NG
2321031	Ubiaja	6.655040	6.386870	NG
2322263	Tegina	10.070600	6.190600	NG
2322495	Tambawel	12.403860	4.646920	NG
2322529	Talata Mafara	12.573170	6.059710	NG
2322552	Takum	7.266670	9.983330	NG
2322957	Soba	10.981340	8.057490	NG
2323390	Saki	8.666670	3.383330	NG
2323411	Shagamu	6.843230	3.647760	NG
2323675	Sapele	5.894050	5.676660	NG
2324504	Rijau	11.102980	5.250680	NG
2324575	Rano	11.549120	8.574640	NG
2324767	Potiskum	11.709100	11.069400	NG
2324774	Port Harcourt	4.777420	7.013400	NG
2324857	Pindiga	9.983330	10.933330	NG
2324960	Pategi	8.733330	5.750000	NG
2325060	Pankshin	9.333330	9.450000	NG
2325161	Ozubulu	5.956660	6.849040	NG
2325249	Oyan	8.050000	4.766670	NG
2325314	Owo	7.196200	5.586810	NG
2325437	Otukpa	7.089210	7.649890	NG
2325733	Orita Eruwa	7.550000	3.433330	NG
2326302	Olupona	7.600000	4.183330	NG
2326811	Okuta	9.216670	3.183330	NG
2326899	Okrika	4.741590	7.084880	NG
2327143	Okigwi	5.835230	7.359890	NG
2327223	Oke Mesi	7.816670	4.916670	NG
2327513	Ogwashi-Uku	6.178180	6.524290	NG
2327521	Oguta	5.708900	6.810260	NG
2327650	Ogoja	6.654710	8.797640	NG
2327827	Ogaminan	7.594640	6.224760	NG
2328090	Ode	7.789900	5.711700	NG
2328185	Obonoma	4.708440	6.793070	NG
2328617	Numan	9.466670	12.033330	NG
2328684	Nsukka	6.856100	7.392700	NG
2328765	Nnewi	6.019860	6.914780	NG
2328790	Nkwerre	5.755550	7.106270	NG
2328811	Nkpor	6.151640	6.844580	NG
2328952	Nguru	12.879100	10.452600	NG
2329451	Nassarawa	8.529440	7.724170	NG
2329562	Nafada	11.095600	11.332700	NG
2329821	Mubi	10.267610	13.264360	NG
2329920	Moriki	12.874050	6.487540	NG
2329946	Mongonu	12.678630	13.607920	NG
2329981	Mokwa	9.283330	5.050000	NG
2330028	Modakeke	7.383330	4.266670	NG
2330719	Marte	12.361130	13.824600	NG
2331005	Malumfashi	11.785290	7.621750	NG
2331140	Makurdi	7.741100	8.512100	NG
2331528	Magumeri	12.113100	12.827400	NG
2332079	Lere	10.386970	8.572620	NG
2332249	Lapai	9.050000	6.566670	NG
2332357	Lalupon	7.466670	4.066670	NG
2332504	Lafiagi	8.866670	5.416670	NG
2332515	Lafia	8.483330	8.516670	NG
2332871	Kwale	5.706320	6.437410	NG
2333451	Kumo	10.044690	11.212170	NG
2333490	Kumagunnam	13.155140	10.634230	NG
2333563	Kukawa	12.923420	13.560580	NG
2334008	Kontagora	10.399890	5.469490	NG
2334327	Kishi	9.083330	3.850000	NG
2334652	Keffi	8.848610	7.873610	NG
2334756	Kaura Namoda	12.589790	6.577910	NG
2334801	Katsina Ala	7.166670	9.283330	NG
2335015	Kari	11.247100	10.561000	NG
2335333	Kamba	11.848640	3.657610	NG
2335596	Kaiama	9.622500	3.948060	NG
